Feminine queue: 230 rows
  [1/230] top/Blouse/white  -> top-white-blouse-silk-fem.jpg (CC0)
  [48/230] top/Slip dress/navy  -> top-navy-slip-dress-silk-fem.jpg (CC0)
  [49/230] top/Sundress/white  -> top-white-sundress-cotton-fem.jpg (CC BY-SA 4.0)
  [50/230] top/Sundress/blue  -> top-blue-sundress-cotton-fem.jpg (CC BY-SA 4.0)
  [51/230] top/Sundress/yellow  -> top-yellow-sundress-cotton-fem.jpg (CC BY-SA 4.0)
  [52/230] top/Sundress/floral  -> top-floral-sundress-cotton-fem.jpg (CC BY-SA 4.0)
  [53/230] top/Midi dress/black  -> top-black-midi-dress-linen-fem.jpg (CC0)
  [54/230] top/Midi dress/white  -> top-white-midi-dress-linen-fem.jpg (CC0)
  [55/230] top/Midi dress/cream  -> top-cream-midi-dress-linen-fem.jpg (CC0)
  [56/230] top/Midi dress/navy  -> top-navy-midi-dress-linen-fem.jpg (CC0)
  [57/230] top/Maxi dress/black  -> top-black-maxi-dress-cotton-fem.jpg (CC BY 2.0)
  [58/230] top/Maxi dress/white  -> top-white-maxi-dress-cotton-fem.jpg (CC BY-SA 4.0)
  [59/230] top/Maxi dress/cream  -> top-cream-maxi-dress-cotton-fem.jpg (CC BY 2.0)
  [60/230] top/Mini dress/black  -> top-black-mini-dress-cotton-fem.jpg (CC BY-SA 4.0)
  [61/230] top/Mini dress/red  -> top-red-mini-dress-cotton-fem.jpg (CC BY 3.0)
  [62/230] top/Mini dress/white  -> top-white-mini-dress-cotton-fem.jpg (CC BY-SA 4.0)
  [63/230] top/Sheath dress/black  -> top-black-sheath-dress-wool-fem.jpg (No restrictions)
  [64/230] top/Sheath dress/navy  -> top-navy-sheath-dress-wool-fem.jpg (CC0)
  [65/230] top/Sheath dress/red  -> top-red-sheath-dress-wool-fem.jpg (No restrictions)
  [66/230] top/Shirtdress/white  -> top-white-shirtdress-cotton-fem.jpg (Public domain)
  [67/230] top/Shirtdress/blue  -> top-blue-shirtdress-cotton-fem.jpg (CC0)
  [68/230] top/Shirtdress/khaki  -> top-khaki-shirtdress-cotton-fem.jpg (CC BY 2.0)
  [69/230] top/Cocktail dress/black  -> top-black-cocktail-dress-silk-fem.jpg (CC BY 4.0)
  [70/230] top/Cocktail dress/navy  -> top-navy-cocktail-dress-silk-fem.jpg (CC BY-SA 4.0)
  [71/230] top/Cocktail dress/red  -> top-red-cocktail-dress-silk-fem.jpg (CC BY 2.0)
  [72/230] top/Sweater dress/black  -> top-black-sweater-dress-wool-fem.jpg (Public domain)
  [73/230] top/Sweater dress/cream  -> top-cream-sweater-dress-wool-fem.jpg (CC BY-SA 2.0)
  [74/230] top/Sweater dress/camel  -> top-camel-sweater-dress-wool-fem.jpg (CC BY-SA 2.0)
  [75/230] top/T-shirt dress/white  -> top-white-t-shirt-dress-cotton-fem.jpg (CC BY 2.0)
  [76/230] top/T-shirt dress/black  -> top-black-t-shirt-dress-cotton-fem.jpg (CC BY 2.0)
  [77/230] top/T-shirt dress/gray  -> top-gray-t-shirt-dress-cotton-fem.jpg (CC BY 2.0)
  [78/230] top/Bodycon dress/black  -> top-black-bodycon-dress-jersey-fem.jpg (CC BY-SA 2.0)
  [79/230] top/Bodycon dress/red  -> top-red-bodycon-dress-jersey-fem.jpg (CC BY-SA 2.0)
  [80/230] top/Bodycon dress/white  -> top-white-bodycon-dress-jersey-fem.jpg (CC BY-SA 2.0)
  [81/230] bottom/A-line skirt/black  -> bottom-black-a-line-skirt-cotton-fem.jpg (CC0)
  [82/230] bottom/A-line skirt/navy  -> bottom-navy-a-line-skirt-cotton-fem.jpg (CC BY 2.0)
  [83/230] bottom/A-line skirt/beige  -> bottom-beige-a-line-skirt-cotton-fem.jpg (CC BY 2.0)
  [84/230] bottom/Pencil skirt/black  -> bottom-black-pencil-skirt-wool-fem.jpg (CC BY-SA 2.0)
  [85/230] bottom/Pencil skirt/navy  -> bottom-navy-pencil-skirt-wool-fem.jpg (CC0)
  [86/230] bottom/Pencil skirt/beige  -> bottom-beige-pencil-skirt-wool-fem.jpg (CC0)
  [87/230] bottom/Midi skirt/black  -> bottom-black-midi-skirt-cotton-fem.jpg (CC BY 2.0)
  [88/230] bottom/Midi skirt/white  -> bottom-white-midi-skirt-cotton-fem.jpg (CC BY-SA 2.5)
  [89/230] bottom/Midi skirt/beige  -> bottom-beige-midi-skirt-cotton-fem.jpg (CC BY-SA 2.5)
  [90/230] bottom/Mini skirt/blue  -> bottom-blue-mini-skirt-denim-fem.jpg (CC BY 2.0)
  [91/230] bottom/Mini skirt/black  -> bottom-black-mini-skirt-denim-fem.jpg (CC BY-SA 2.0)
  [92/230] bottom/Mini skirt/white  -> bottom-white-mini-skirt-denim-fem.jpg (CC BY-SA 4.0)
  [93/230] bottom/Maxi skirt/black  -> bottom-black-maxi-skirt-linen-fem.jpg (CC BY-SA 4.0)
  [94/230] bottom/Maxi skirt/cream  -> bottom-cream-maxi-skirt-linen-fem.jpg (CC BY-SA 4.0)
  [95/230] bottom/Maxi skirt/beige  -> bottom-beige-maxi-skirt-linen-fem.jpg (CC BY-SA 4.0)
  [96/230] bottom/Pleated skirt/black  -> bottom-black-pleated-skirt-cotton-fem.jpg (CC0)
  [97/230] bottom/Pleated skirt/navy  -> bottom-navy-pleated-skirt-cotton-fem.jpg (CC0)
  [98/230] bottom/Pleated skirt/cream  -> bottom-cream-pleated-skirt-cotton-fem.jpg (CC BY 4.0)
  [99/230] bottom/Wrap skirt/black  -> bottom-black-wrap-skirt-linen-fem.jpg (CC BY 2.0)
  [100/230] bottom/Wrap skirt/cream  -> bottom-cream-wrap-skirt-linen-fem.jpg (CC BY 4.0)
  [101/230] bottom/Wrap skirt/navy  -> bottom-navy-wrap-skirt-linen-fem.jpg (FAL)
  [102/230] bottom/Denim skirt/blue  -> bottom-blue-denim-skirt-denim-fem.jpg (CC BY-SA 4.0)
  [103/230] bottom/Denim skirt/black  -> bottom-black-denim-skirt-denim-fem.jpg (CC BY-SA 4.0)
  [104/230] bottom/Denim skirt/white  -> bottom-white-denim-skirt-denim-fem.jpg (CC BY-SA 2.0)
  [105/230] bottom/Leather skirt/black  -> bottom-black-leather-skirt-leather-fem.jpg (CC BY-SA 2.0)
  [106/230] bottom/Leather skirt/brown  -> bottom-brown-leather-skirt-leather-fem.jpg (CC BY-SA 3.0)
  [107/230] bottom/Tennis skirt/white  -> bottom-white-tennis-skirt-cotton-fem.jpg (Public domain)
  [108/230] bottom/Tennis skirt/navy  -> bottom-navy-tennis-skirt-cotton-fem.jpg (CC0)
  [109/230] bottom/Tennis skirt/black  -> bottom-black-tennis-skirt-cotton-fem.jpg (Public domain)
  [110/230] bottom/High-waist jeans/blue  -> bottom-blue-high-waist-jeans-denim-fem.jpg (CC BY-SA 2.0)
  [111/230] bottom/High-waist jeans/black  -> bottom-black-high-waist-jeans-denim-fem.jpg (CC BY-SA 2.0)
  [112/230] bottom/High-waist jeans/white  -> bottom-white-high-waist-jeans-denim-fem.jpg (CC BY-SA 2.0)
  [113/230] bottom/Mom jeans/blue  -> bottom-blue-mom-jeans-denim-fem.jpg (CC BY-SA 4.0)
  [114/230] bottom/Mom jeans/black  -> bottom-black-mom-jeans-denim-fem.jpg (CC BY-SA 4.0)
  [115/230] bottom/Wide-leg trousers/black  -> bottom-black-wide-leg-trousers-wool-fem.jpg (CC BY-SA 2.0)
  [116/230] bottom/Wide-leg trousers/cream  -> bottom-cream-wide-leg-trousers-wool-fem.jpg (CC BY-SA 2.0)
  [117/230] bottom/Wide-leg trousers/navy  -> bottom-navy-wide-leg-trousers-wool-fem.jpg (CC BY-SA 2.0)
  [118/230] bottom/Cigarette pants/black  -> bottom-black-cigarette-pants-cotton-fem.jpg (CC BY-SA 4.0)
  [121/230] bottom/Capri pants/black  -> bottom-black-capri-pants-cotton-fem.jpg (No restrictions)
  [122/230] bottom/Capri pants/white  -> bottom-white-capri-pants-cotton-fem.jpg (No restrictions)
  [123/230] bottom/Capri pants/navy  -> bottom-navy-capri-pants-cotton-fem.jpg (CC BY-SA 2.5)
  [124/230] bottom/Culottes/black  -> bottom-black-culottes-linen-fem.jpg (Public domain)
  [125/230] bottom/Culottes/cream  -> bottom-cream-culottes-linen-fem.jpg (CC0)
  [126/230] bottom/Culottes/navy  -> bottom-navy-culottes-linen-fem.jpg (CC0)
  [127/230] bottom/Palazzo pants/black  -> bottom-black-palazzo-pants-linen-fem.jpg (CC0)
  [128/230] bottom/Palazzo pants/cream  -> bottom-cream-palazzo-pants-linen-fem.jpg (CC0)
  [129/230] bottom/Palazzo pants/white  -> bottom-white-palazzo-pants-linen-fem.jpg (CC0)
  [130/230] bottom/Bike shorts/black  -> bottom-black-bike-shorts-jersey-fem.jpg (CC BY-SA 2.0)
  [131/230] bottom/Bike shorts/navy  -> bottom-navy-bike-shorts-jersey-fem.jpg (CC BY-SA 2.0)
  [132/230] outer/Wrap coat/camel  -> outer-camel-wrap-coat-wool-fem.jpg (CC0)
  [133/230] outer/Wrap coat/black  -> outer-black-wrap-coat-wool-fem.jpg (No restrictions)
  [134/230] outer/Wrap coat/beige  -> outer-beige-wrap-coat-wool-fem.jpg (Public domain)
  [138/230] outer/Cropped jacket/black  -> outer-black-cropped-jacket-wool-fem.jpg (CC BY-SA 4.0)
  [139/230] outer/Cropped jacket/cream  -> outer-cream-cropped-jacket-wool-fem.jpg (Public domain)
  [140/230] outer/Cropped jacket/red  -> outer-red-cropped-jacket-wool-fem.jpg (CC BY-SA 3.0)
  [141/230] outer/Cape/camel  -> outer-camel-cape-wool-fem.jpg (Public domain)
  [142/230] outer/Cape/black  -> outer-black-cape-wool-fem.jpg (Public domain)
  [143/230] outer/Cape/navy  -> outer-navy-cape-wool-fem.jpg (Public domain)
  [144/230] outer/Poncho/beige  -> outer-beige-poncho-wool-fem.jpg (CC BY-SA 4.0)
  [145/230] outer/Poncho/black  -> outer-black-poncho-wool-fem.jpg (Public domain)
  [146/230] outer/Poncho/gray  -> outer-gray-poncho-wool-fem.jpg (CC BY-SA 4.0)
  [147/230] outer/Kimono/black  -> outer-black-kimono-silk-fem.jpg (CC BY-SA 2.0)
  [148/230] outer/Kimono/floral  -> outer-floral-kimono-silk-fem.jpg (CC0)
  [149/230] outer/Kimono/cream  -> outer-cream-kimono-silk-fem.jpg (Copyrighted free use)
  [150/230] outer/Duster coat/camel  -> outer-camel-duster-coat-wool-fem.jpg (CC0)
  [151/230] outer/Duster coat/black  -> outer-black-duster-coat-wool-fem.jpg (Public domain)
  [152/230] outer/Duster coat/navy  -> outer-navy-duster-coat-wool-fem.jpg (CC0)
  [153/230] shoes/Heels/black  -> shoes-black-heels-leather-fem.jpg (CC0)
  [154/230] shoes/Heels/nude  -> shoes-nude-heels-leather-fem.jpg (CC BY-SA 2.0)
  [155/230] shoes/Heels/red  -> shoes-red-heels-leather-fem.jpg (CC0)
  [156/230] shoes/Stiletto heels/black  -> shoes-black-stiletto-heels-leather-fem.jpg (CC BY 2.0)
  [157/230] shoes/Stiletto heels/nude  -> shoes-nude-stiletto-heels-leather-fem.jpg (CC BY-SA 3.0)
  [158/230] shoes/Kitten heels/black  -> shoes-black-kitten-heels-leather-fem.jpg (CC BY 2.0)
  [159/230] shoes/Kitten heels/nude  -> shoes-nude-kitten-heels-leather-fem.jpg (CC0)
  [160/230] shoes/Block heels/black  -> shoes-black-block-heels-leather-fem.jpg (CC BY 2.0)
  [161/230] shoes/Block heels/tan  -> shoes-tan-block-heels-leather-fem.jpg (CC BY-SA 4.0)
  [162/230] shoes/Block heels/white  -> shoes-white-block-heels-leather-fem.jpg (CC BY-SA 4.0)
  [163/230] shoes/Pumps/black  -> shoes-black-pumps-leather-fem.jpg (CC BY-SA 4.0)
  [164/230] shoes/Pumps/nude  -> shoes-nude-pumps-leather-fem.jpg (CC BY 2.0)
  [165/230] shoes/Pumps/red  -> shoes-red-pumps-leather-fem.jpg (CC BY-SA 2.0)
  [166/230] shoes/Ballet flats/black  -> shoes-black-ballet-flats-leather-fem.jpg (CC BY-SA 2.0)
  [167/230] shoes/Ballet flats/nude  -> shoes-nude-ballet-flats-leather-fem.jpg (CC0)
  [168/230] shoes/Ballet flats/red  -> shoes-red-ballet-flats-leather-fem.jpg (CC BY-SA 2.0)
  [169/230] shoes/Mary Janes/black  -> shoes-black-mary-janes-leather-fem.jpg (No restrictions)
  [170/230] shoes/Mary Janes/red  -> shoes-red-mary-janes-leather-fem.jpg (Public domain)
  [171/230] shoes/Mules/black  -> shoes-black-mules-leather-fem.jpg (CC0)
  [172/230] shoes/Mules/tan  -> shoes-tan-mules-leather-fem.jpg (CC BY-SA 3.0)
  [173/230] shoes/Mules/white  -> shoes-white-mules-leather-fem.jpg (CC0)
  [174/230] shoes/Wedge sandals/tan  -> shoes-tan-wedge-sandals-leather-fem.jpg (CC BY 3.0)
  [175/230] shoes/Wedge sandals/black  -> shoes-black-wedge-sandals-leather-fem.jpg (CC BY 2.0)
  [176/230] shoes/Wedge sandals/gold  -> shoes-gold-wedge-sandals-leather-fem.jpg (No restrictions)
  [177/230] shoes/Strappy sandals/black  -> shoes-black-strappy-sandals-leather-fem.jpg (CC BY 4.0)
  [178/230] shoes/Strappy sandals/gold  -> shoes-gold-strappy-sandals-leather-fem.jpg (CC BY 4.0)
  [179/230] shoes/Strappy sandals/silver  -> shoes-silver-strappy-sandals-leather-fem.jpg (CC BY 4.0)
  [183/230] shoes/Knee-high boots/black  -> shoes-black-knee-high-boots-leather-fem.jpg (CC BY-SA 2.0)
  [184/230] shoes/Knee-high boots/brown  -> shoes-brown-knee-high-boots-leather-fem.jpg (CC BY 2.0)
  [185/230] shoes/Riding boots/brown  -> shoes-brown-riding-boots-leather-fem.jpg (CC BY-SA 4.0)
  [186/230] shoes/Riding boots/black  -> shoes-black-riding-boots-leather-fem.jpg (No restrictions)
  [187/230] accessory/Clutch/black  -> accessory-black-clutch-leather-fem.jpg (No restrictions)
  [188/230] accessory/Clutch/gold  -> accessory-gold-clutch-leather-fem.jpg (CC0)
  [189/230] accessory/Clutch/silver  -> accessory-silver-clutch-leather-fem.jpg (No restrictions)
  [190/230] accessory/Mini bag/black  -> accessory-black-mini-bag-leather-fem.jpg (CC BY 2.0)
  [191/230] accessory/Mini bag/tan  -> accessory-tan-mini-bag-leather-fem.jpg (CC BY 2.0)
  [192/230] accessory/Mini bag/red  -> accessory-red-mini-bag-leather-fem.jpg (CC BY 2.0)
  [193/230] accessory/Hobo bag/black  -> accessory-black-hobo-bag-leather-fem.jpg (CC BY-SA 3.0)
  [194/230] accessory/Hobo bag/brown  -> accessory-brown-hobo-bag-leather-fem.jpg (CC BY-SA 3.0)
  [195/230] accessory/Hobo bag/tan  -> accessory-tan-hobo-bag-leather-fem.jpg (CC BY-SA 4.0)
  [196/230] accessory/Bucket bag/black  -> accessory-black-bucket-bag-leather-fem.jpg (Public domain)
  [197/230] accessory/Bucket bag/tan  -> accessory-tan-bucket-bag-leather-fem.jpg (CC BY-SA 3.0)
  [198/230] accessory/Bucket bag/cream  -> accessory-cream-bucket-bag-leather-fem.jpg (CC BY-SA 3.0)
  [202/230] accessory/Hair clip/gold  -> accessory-gold-hair-clip-metal-fem.jpg (CC BY 4.0)
  [203/230] accessory/Hair clip/silver  -> accessory-silver-hair-clip-metal-fem.jpg (CC BY-SA 2.0)
  [204/230] accessory/Hair clip/tortoiseshell  -> accessory-tortoiseshell-hair-clip-metal-fem.jpg (CC0)
  [205/230] accessory/Headband/black  -> accessory-black-headband-silk-fem.jpg (CC BY 2.0)
  [206/230] accessory/Headband/red  -> accessory-red-headband-silk-fem.jpg (CC BY-SA 2.0)
  [207/230] accessory/Headband/gold  -> accessory-gold-headband-silk-fem.jpg (CC BY-SA 2.0)
  [208/230] accessory/Hair scarf/red  -> accessory-red-hair-scarf-silk-fem.jpg (CC BY 2.0)
  [209/230] accessory/Hair scarf/black  -> accessory-black-hair-scarf-silk-fem.jpg (Public domain)
  [210/230] accessory/Hair scarf/navy  -> accessory-navy-hair-scarf-silk-fem.jpg (CC0)
  [211/230] accessory/Pearl earrings/pearl  -> accessory-pearl-pearl-earrings-pearl-fem.jpg (No restrictions)
  [212/230] accessory/Pearl earrings/white  -> accessory-white-pearl-earrings-pearl-fem.jpg (Public domain)
  [213/230] accessory/Hoop earrings/gold  -> accessory-gold-hoop-earrings-gold-fem.jpg (Public domain)
  [214/230] accessory/Hoop earrings/silver  -> accessory-silver-hoop-earrings-gold-fem.jpg (CC BY 4.0)
  [215/230] accessory/Drop earrings/gold  -> accessory-gold-drop-earrings-gold-fem.jpg (Public domain)
  [216/230] accessory/Drop earrings/silver  -> accessory-silver-drop-earrings-gold-fem.jpg (CC BY 4.0)
  [217/230] accessory/Statement necklace/gold  -> accessory-gold-statement-necklace-metal-fem.jpg (CC BY-SA 2.0)
  [218/230] accessory/Statement necklace/silver  -> accessory-silver-statement-necklace-metal-fem.jpg (No restrictions)
  [219/230] accessory/Pendant necklace/gold  -> accessory-gold-pendant-necklace-gold-fem.jpg (CC BY-SA 2.0)
  [220/230] accessory/Pendant necklace/silver  -> accessory-silver-pendant-necklace-gold-fem.jpg (CC BY-SA 4.0)
  [221/230] accessory/Brooch/gold  -> accessory-gold-brooch-metal-fem.jpg (CC BY-SA 4.0)
  [222/230] accessory/Brooch/silver  -> accessory-silver-brooch-metal-fem.jpg (CC BY-SA 4.0)
  [223/230] accessory/Stacked bracelets/gold  -> accessory-gold-stacked-bracelets-gold-fem.jpg (Public domain)
  [224/230] accessory/Stacked bracelets/silver  -> accessory-silver-stacked-bracelets-gold-fem.jpg (Public domain)
  [225/230] accessory/Charm bracelet/silver  -> accessory-silver-charm-bracelet-silver-fem.jpg (CC BY 2.0)
  [226/230] accessory/Charm bracelet/gold  -> accessory-gold-charm-bracelet-silver-fem.jpg (Public domain)
  [227/230] accessory/Beret/black  -> accessory-black-beret-wool-fem.jpg (No restrictions)
  [228/230] accessory/Beret/red  -> accessory-red-beret-wool-fem.jpg (Public domain)
  [229/230] accessory/Beret/navy  -> accessory-navy-beret-wool-fem.jpg (Public domain)
  [230/230] accessory/Beret/cream  -> accessory-cream-beret-wool-fem.jpg (CC BY-SA 4.0)

Done. ok=209 skipped=0 failed=21
Wrote downloads-fem.log + downloads-fem.json
