priority,gapType,slot,item,color,material,suggestedKey,suggestedFilename,searchQuery,unsplashSearchUrl,pexelsSearchUrl,licenseNote
P0,noMatch,shoes,Sandals,brown,leather,shoes_brown_sandals_leather_studio,assets/recommendation-stock/shoes-brown-sandals-leather.jpg,brown leather Sandals flat lay studio product,https://unsplash.com/s/photos/brown%20leather%20Sandals%20flat%20lay%20studio%20product,https://www.pexels.com/search/brown%20leather%20Sandals%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,shoes,Slides,black,rubber,shoes_black_slides_rubber_studio,assets/recommendation-stock/shoes-black-slides-rubber.jpg,black rubber Slides flat lay studio product,https://unsplash.com/s/photos/black%20rubber%20Slides%20flat%20lay%20studio%20product,https://www.pexels.com/search/black%20rubber%20Slides%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,shoes,Slip-ons,white,canvas,shoes_white_slip-ons_canvas_studio,assets/recommendation-stock/shoes-white-slip-ons-canvas.jpg,white canvas Slip-ons flat lay studio product,https://unsplash.com/s/photos/white%20canvas%20Slip-ons%20flat%20lay%20studio%20product,https://www.pexels.com/search/white%20canvas%20Slip-ons%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,top,Cardigan,navy,wool,top_navy_cardigan_wool_studio,assets/recommendation-stock/top-navy-cardigan-wool.jpg,navy wool Cardigan flat lay studio product,https://unsplash.com/s/photos/navy%20wool%20Cardigan%20flat%20lay%20studio%20product,https://www.pexels.com/search/navy%20wool%20Cardigan%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,top,Henley,white,cotton,top_white_henley_cotton_studio,assets/recommendation-stock/top-white-henley-cotton.jpg,white cotton Henley flat lay studio product,https://unsplash.com/s/photos/white%20cotton%20Henley%20flat%20lay%20studio%20product,https://www.pexels.com/search/white%20cotton%20Henley%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,top,Wool turtleneck,charcoal,wool,top_charcoal_wool-turtleneck_wool_studio,assets/recommendation-stock/top-charcoal-wool-turtleneck-wool.jpg,charcoal wool Wool turtleneck flat lay studio product,https://unsplash.com/s/photos/charcoal%20wool%20Wool%20turtleneck%20flat%20lay%20studio%20product,https://www.pexels.com/search/charcoal%20wool%20Wool%20turtleneck%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Backpack,brown,leather,accessory_brown_backpack_leather_studio,assets/recommendation-stock/accessory-brown-backpack-leather.jpg,brown leather Backpack flat lay studio product,https://unsplash.com/s/photos/brown%20leather%20Backpack%20flat%20lay%20studio%20product,https://www.pexels.com/search/brown%20leather%20Backpack%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Backpack,gray,leather,accessory_gray_backpack_leather_studio,assets/recommendation-stock/accessory-gray-backpack-leather.jpg,gray leather Backpack flat lay studio product,https://unsplash.com/s/photos/gray%20leather%20Backpack%20flat%20lay%20studio%20product,https://www.pexels.com/search/gray%20leather%20Backpack%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Backpack,navy,leather,accessory_navy_backpack_leather_studio,assets/recommendation-stock/accessory-navy-backpack-leather.jpg,navy leather Backpack flat lay studio product,https://unsplash.com/s/photos/navy%20leather%20Backpack%20flat%20lay%20studio%20product,https://www.pexels.com/search/navy%20leather%20Backpack%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Backpack,tan,leather,accessory_tan_backpack_leather_studio,assets/recommendation-stock/accessory-tan-backpack-leather.jpg,tan leather Backpack flat lay studio product,https://unsplash.com/s/photos/tan%20leather%20Backpack%20flat%20lay%20studio%20product,https://www.pexels.com/search/tan%20leather%20Backpack%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Baseball cap,brown,cotton,accessory_brown_baseball-cap_cotton_studio,assets/recommendation-stock/accessory-brown-baseball-cap-cotton.jpg,brown cotton Baseball cap flat lay studio product,https://unsplash.com/s/photos/brown%20cotton%20Baseball%20cap%20flat%20lay%20studio%20product,https://www.pexels.com/search/brown%20cotton%20Baseball%20cap%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Baseball cap,cream,cotton,accessory_cream_baseball-cap_cotton_studio,assets/recommendation-stock/accessory-cream-baseball-cap-cotton.jpg,cream cotton Baseball cap flat lay studio product,https://unsplash.com/s/photos/cream%20cotton%20Baseball%20cap%20flat%20lay%20studio%20product,https://www.pexels.com/search/cream%20cotton%20Baseball%20cap%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Baseball cap,gray,cotton,accessory_gray_baseball-cap_cotton_studio,assets/recommendation-stock/accessory-gray-baseball-cap-cotton.jpg,gray cotton Baseball cap flat lay studio product,https://unsplash.com/s/photos/gray%20cotton%20Baseball%20cap%20flat%20lay%20studio%20product,https://www.pexels.com/search/gray%20cotton%20Baseball%20cap%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Baseball cap,navy,cotton,accessory_navy_baseball-cap_cotton_studio,assets/recommendation-stock/accessory-navy-baseball-cap-cotton.jpg,navy cotton Baseball cap flat lay studio product,https://unsplash.com/s/photos/navy%20cotton%20Baseball%20cap%20flat%20lay%20studio%20product,https://www.pexels.com/search/navy%20cotton%20Baseball%20cap%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Baseball cap,tan,cotton,accessory_tan_baseball-cap_cotton_studio,assets/recommendation-stock/accessory-tan-baseball-cap-cotton.jpg,tan cotton Baseball cap flat lay studio product,https://unsplash.com/s/photos/tan%20cotton%20Baseball%20cap%20flat%20lay%20studio%20product,https://www.pexels.com/search/tan%20cotton%20Baseball%20cap%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Baseball cap,white,cotton,accessory_white_baseball-cap_cotton_studio,assets/recommendation-stock/accessory-white-baseball-cap-cotton.jpg,white cotton Baseball cap flat lay studio product,https://unsplash.com/s/photos/white%20cotton%20Baseball%20cap%20flat%20lay%20studio%20product,https://www.pexels.com/search/white%20cotton%20Baseball%20cap%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Belt,brown,leather,accessory_brown_belt_leather_studio,assets/recommendation-stock/accessory-brown-belt-leather.jpg,brown leather Belt flat lay studio product,https://unsplash.com/s/photos/brown%20leather%20Belt%20flat%20lay%20studio%20product,https://www.pexels.com/search/brown%20leather%20Belt%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Belt,gray,leather,accessory_gray_belt_leather_studio,assets/recommendation-stock/accessory-gray-belt-leather.jpg,gray leather Belt flat lay studio product,https://unsplash.com/s/photos/gray%20leather%20Belt%20flat%20lay%20studio%20product,https://www.pexels.com/search/gray%20leather%20Belt%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Belt,navy,leather,accessory_navy_belt_leather_studio,assets/recommendation-stock/accessory-navy-belt-leather.jpg,navy leather Belt flat lay studio product,https://unsplash.com/s/photos/navy%20leather%20Belt%20flat%20lay%20studio%20product,https://www.pexels.com/search/navy%20leather%20Belt%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Belt,tan,leather,accessory_tan_belt_leather_studio,assets/recommendation-stock/accessory-tan-belt-leather.jpg,tan leather Belt flat lay studio product,https://unsplash.com/s/photos/tan%20leather%20Belt%20flat%20lay%20studio%20product,https://www.pexels.com/search/tan%20leather%20Belt%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Gloves,black,cotton,accessory_black_gloves_cotton_studio,assets/recommendation-stock/accessory-black-gloves-cotton.jpg,black cotton Gloves flat lay studio product,https://unsplash.com/s/photos/black%20cotton%20Gloves%20flat%20lay%20studio%20product,https://www.pexels.com/search/black%20cotton%20Gloves%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Gloves,brown,cotton,accessory_brown_gloves_cotton_studio,assets/recommendation-stock/accessory-brown-gloves-cotton.jpg,brown cotton Gloves flat lay studio product,https://unsplash.com/s/photos/brown%20cotton%20Gloves%20flat%20lay%20studio%20product,https://www.pexels.com/search/brown%20cotton%20Gloves%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Gloves,gray,cotton,accessory_gray_gloves_cotton_studio,assets/recommendation-stock/accessory-gray-gloves-cotton.jpg,gray cotton Gloves flat lay studio product,https://unsplash.com/s/photos/gray%20cotton%20Gloves%20flat%20lay%20studio%20product,https://www.pexels.com/search/gray%20cotton%20Gloves%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Gloves,navy,cotton,accessory_navy_gloves_cotton_studio,assets/recommendation-stock/accessory-navy-gloves-cotton.jpg,navy cotton Gloves flat lay studio product,https://unsplash.com/s/photos/navy%20cotton%20Gloves%20flat%20lay%20studio%20product,https://www.pexels.com/search/navy%20cotton%20Gloves%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Gloves,tan,cotton,accessory_tan_gloves_cotton_studio,assets/recommendation-stock/accessory-tan-gloves-cotton.jpg,tan cotton Gloves flat lay studio product,https://unsplash.com/s/photos/tan%20cotton%20Gloves%20flat%20lay%20studio%20product,https://www.pexels.com/search/tan%20cotton%20Gloves%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Scarf,black,silk,accessory_black_scarf_silk_studio,assets/recommendation-stock/accessory-black-scarf-silk.jpg,black silk Scarf flat lay studio product,https://unsplash.com/s/photos/black%20silk%20Scarf%20flat%20lay%20studio%20product,https://www.pexels.com/search/black%20silk%20Scarf%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Scarf,brown,silk,accessory_brown_scarf_silk_studio,assets/recommendation-stock/accessory-brown-scarf-silk.jpg,brown silk Scarf flat lay studio product,https://unsplash.com/s/photos/brown%20silk%20Scarf%20flat%20lay%20studio%20product,https://www.pexels.com/search/brown%20silk%20Scarf%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Scarf,gray,silk,accessory_gray_scarf_silk_studio,assets/recommendation-stock/accessory-gray-scarf-silk.jpg,gray silk Scarf flat lay studio product,https://unsplash.com/s/photos/gray%20silk%20Scarf%20flat%20lay%20studio%20product,https://www.pexels.com/search/gray%20silk%20Scarf%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Scarf,navy,silk,accessory_navy_scarf_silk_studio,assets/recommendation-stock/accessory-navy-scarf-silk.jpg,navy silk Scarf flat lay studio product,https://unsplash.com/s/photos/navy%20silk%20Scarf%20flat%20lay%20studio%20product,https://www.pexels.com/search/navy%20silk%20Scarf%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Scarf,tan,silk,accessory_tan_scarf_silk_studio,assets/recommendation-stock/accessory-tan-scarf-silk.jpg,tan silk Scarf flat lay studio product,https://unsplash.com/s/photos/tan%20silk%20Scarf%20flat%20lay%20studio%20product,https://www.pexels.com/search/tan%20silk%20Scarf%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Sun hat,black,cotton,accessory_black_sun-hat_cotton_studio,assets/recommendation-stock/accessory-black-sun-hat-cotton.jpg,black cotton Sun hat flat lay studio product,https://unsplash.com/s/photos/black%20cotton%20Sun%20hat%20flat%20lay%20studio%20product,https://www.pexels.com/search/black%20cotton%20Sun%20hat%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Sun hat,brown,cotton,accessory_brown_sun-hat_cotton_studio,assets/recommendation-stock/accessory-brown-sun-hat-cotton.jpg,brown cotton Sun hat flat lay studio product,https://unsplash.com/s/photos/brown%20cotton%20Sun%20hat%20flat%20lay%20studio%20product,https://www.pexels.com/search/brown%20cotton%20Sun%20hat%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Sun hat,gray,cotton,accessory_gray_sun-hat_cotton_studio,assets/recommendation-stock/accessory-gray-sun-hat-cotton.jpg,gray cotton Sun hat flat lay studio product,https://unsplash.com/s/photos/gray%20cotton%20Sun%20hat%20flat%20lay%20studio%20product,https://www.pexels.com/search/gray%20cotton%20Sun%20hat%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Sun hat,navy,cotton,accessory_navy_sun-hat_cotton_studio,assets/recommendation-stock/accessory-navy-sun-hat-cotton.jpg,navy cotton Sun hat flat lay studio product,https://unsplash.com/s/photos/navy%20cotton%20Sun%20hat%20flat%20lay%20studio%20product,https://www.pexels.com/search/navy%20cotton%20Sun%20hat%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Sun hat,tan,cotton,accessory_tan_sun-hat_cotton_studio,assets/recommendation-stock/accessory-tan-sun-hat-cotton.jpg,tan cotton Sun hat flat lay studio product,https://unsplash.com/s/photos/tan%20cotton%20Sun%20hat%20flat%20lay%20studio%20product,https://www.pexels.com/search/tan%20cotton%20Sun%20hat%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Sunglasses,black,acetate,accessory_black_sunglasses_acetate_studio,assets/recommendation-stock/accessory-black-sunglasses-acetate.jpg,black acetate Sunglasses flat lay studio product,https://unsplash.com/s/photos/black%20acetate%20Sunglasses%20flat%20lay%20studio%20product,https://www.pexels.com/search/black%20acetate%20Sunglasses%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Sunglasses,brown,acetate,accessory_brown_sunglasses_acetate_studio,assets/recommendation-stock/accessory-brown-sunglasses-acetate.jpg,brown acetate Sunglasses flat lay studio product,https://unsplash.com/s/photos/brown%20acetate%20Sunglasses%20flat%20lay%20studio%20product,https://www.pexels.com/search/brown%20acetate%20Sunglasses%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Sunglasses,gray,acetate,accessory_gray_sunglasses_acetate_studio,assets/recommendation-stock/accessory-gray-sunglasses-acetate.jpg,gray acetate Sunglasses flat lay studio product,https://unsplash.com/s/photos/gray%20acetate%20Sunglasses%20flat%20lay%20studio%20product,https://www.pexels.com/search/gray%20acetate%20Sunglasses%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Sunglasses,navy,acetate,accessory_navy_sunglasses_acetate_studio,assets/recommendation-stock/accessory-navy-sunglasses-acetate.jpg,navy acetate Sunglasses flat lay studio product,https://unsplash.com/s/photos/navy%20acetate%20Sunglasses%20flat%20lay%20studio%20product,https://www.pexels.com/search/navy%20acetate%20Sunglasses%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Sunglasses,tan,acetate,accessory_tan_sunglasses_acetate_studio,assets/recommendation-stock/accessory-tan-sunglasses-acetate.jpg,tan acetate Sunglasses flat lay studio product,https://unsplash.com/s/photos/tan%20acetate%20Sunglasses%20flat%20lay%20studio%20product,https://www.pexels.com/search/tan%20acetate%20Sunglasses%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Tote bag,black,leather,accessory_black_tote-bag_leather_studio,assets/recommendation-stock/accessory-black-tote-bag-leather.jpg,black leather Tote bag flat lay studio product,https://unsplash.com/s/photos/black%20leather%20Tote%20bag%20flat%20lay%20studio%20product,https://www.pexels.com/search/black%20leather%20Tote%20bag%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Tote bag,brown,leather,accessory_brown_tote-bag_leather_studio,assets/recommendation-stock/accessory-brown-tote-bag-leather.jpg,brown leather Tote bag flat lay studio product,https://unsplash.com/s/photos/brown%20leather%20Tote%20bag%20flat%20lay%20studio%20product,https://www.pexels.com/search/brown%20leather%20Tote%20bag%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Tote bag,gray,leather,accessory_gray_tote-bag_leather_studio,assets/recommendation-stock/accessory-gray-tote-bag-leather.jpg,gray leather Tote bag flat lay studio product,https://unsplash.com/s/photos/gray%20leather%20Tote%20bag%20flat%20lay%20studio%20product,https://www.pexels.com/search/gray%20leather%20Tote%20bag%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P1,colorLocked,accessory,Tote bag,navy,leather,accessory_navy_tote-bag_leather_studio,assets/recommendation-stock/accessory-navy-tote-bag-leather.jpg,navy leather Tote bag flat lay studio product,https://unsplash.com/s/photos/navy%20leather%20Tote%20bag%20flat%20lay%20studio%20product,https://www.pexels.com/search/navy%20leather%20Tote%20bag%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
